X, Y ,Z
-56.7969,15.53946, 20.96048
-58.01814,12.71791, 20.08098
-58.95841,16.03383, 22.01806
-56.80669,15.56586, 20.98135
-58.03572,12.73855, 20.10321
-58.97495,16.06063, 22.04147
-56.81766,15.59542, 21.00472
-58.0554,12.76165, 20.12809
-58.99287,16.08968, 22.06684
-56.82954,15.62745, 21.03005
-58.07672,12.78669, 20.15505
-59.01033,16.11797, 22.09155
-56.84111,15.65865, 21.05471
-58.09749,12.81107, 20.18132
-59.02791,16.14645, 22.11643
-56.85276,15.69006, 21.07955
-58.1184,12.83563, 20.20776
-59.04117,16.16792, 22.1352
-56.86155,15.71375, 21.09827
-58.13417,12.85414, 20.2277
-59.05978,16.19807, 22.16153
-56.87389,15.747, 21.12456
-58.1563,12.88013, 20.25569
-59.07673,16.22553, 22.18552
-56.88512,15.77729, 21.1485
-58.17646,12.9038, 20.28118
-59.09447,16.25428, 22.21063
-56.89688,15.80899, 21.17357
-58.19757,12.92858, 20.30787
-59.1124,16.28333, 22.23601
-56.90877,15.84103, 21.1989
-58.2189,12.95363, 20.33484
-59.12677,16.30662, 22.25635
-56.9183,15.86672, 21.2192
-58.236,12.9737, 20.35646
-59.14361,16.33391, 22.28019
-56.92946,15.89681, 21.243
-58.25603,12.99722, 20.38179
-59.16163,16.3631, 22.30569
-56.94141,15.92901, 21.26845
-58.27746,13.02239, 20.40889
-59.17933,16.39177, 22.33074
-56.95314,15.96063, 21.29345
-58.29852,13.04711, 20.43551
-59.19788,16.42184, 22.357
-56.96544,15.99379, 21.31967
-58.32059,13.07302, 20.46342
-59.21014,16.44169, 22.37435
-56.97356,16.01569, 21.33698
-58.33517,13.09014, 20.48186
-59.22785,16.4704, 22.39942
-56.98531,16.04735, 21.36201
-58.35624,13.11488, 20.5085
-59.24507,16.49829, 22.42379
-56.99672,16.07811, 21.38633
-58.37672,13.13893, 20.5344
-59.26336,16.52793, 22.44968
-57.00885,16.1108, 21.41217
-58.39848,13.16448, 20.56192
-59.27703,16.55008, 22.46903
-57.01791,16.13523, 21.43148
-58.41474,13.18357, 20.58248
-59.2951,16.57936, 22.49461
-57.02989,16.16753, 21.45702
-58.43624,13.20882, 20.60967
-59.3129,16.60819, 22.51979
-57.04168,16.19932, 21.48215
-58.45741,13.23367, 20.63643
-59.331,16.63752, 22.54542
-57.05368,16.23167, 21.50773
-58.47894,13.25895, 20.66366
-59.34443,16.65928, 22.56443
-57.06259,16.25567, 21.5267
-58.49492,13.27771, 20.68386
-59.36221,16.68809, 22.5896
-57.07438,16.28745, 21.55182
-58.51607,13.30255, 20.71061
-59.38108,16.71866, 22.6163
-57.08688,16.32116, 21.57848
-58.53851,13.3289, 20.73899
-59.39768,16.74555, 22.63979
-57.09789,16.35082, 21.60192
-58.55826,13.35208, 20.76396
-59.41552,16.77446, 22.66504
-57.10971,16.3827, 21.62713
-58.57948,13.377, 20.7908
-59.42879,16.79597, 22.68383
-57.11851,16.40643, 21.64588
-58.59527,13.39554, 20.81076
-59.44669,16.82495, 22.70915
-57.13037,16.43839, 21.67115
-58.61655,13.42053, 20.83767
-59.46548,16.85542, 22.73576
-57.14283,16.47199, 21.69772
-58.63892,13.44679, 20.86595
-59.48209,16.88232, 22.75927
-57.15384,16.50166, 21.72118
-58.65867,13.46998, 20.89093
-59.49976,16.91095, 22.78428
-57.16555,16.53324, 21.74614
-58.67969,13.49466, 20.91751
-59.5136,16.93338, 22.80387
-57.17473,16.55798, 21.7657
-58.69616,13.514, 20.93834
-59.53135,16.96214, 22.82899
-57.1865,16.58969, 21.79077
-58.71727,13.53879, 20.96503
-59.5493,16.99122, 22.8544
-57.1984,16.62177, 21.81613
-58.73862,13.56386, 20.99203
-59.56445,17.01577, 22.87584
-57.20844,16.64884, 21.83753
-58.75665,13.58502, 21.01482
-59.58166,17.04364, 22.90019
-57.21984,16.67958, 21.86183
-58.77711,13.60905, 21.0407
-59.59989,17.07318, 22.92599
-57.23193,16.71216, 21.88759
-58.7988,13.63451, 21.06812
-59.617,17.10091, 22.95022
-57.24327,16.74274, 21.91177
-58.81915,13.65841, 21.09386
-59.63519,17.13037, 22.97596
-57.25533,16.77524, 21.93746
-58.85128,13.69614, 21.1345
-59.64871,17.15228, 22.9951
-57.2643,16.7994, 21.95656
-59.66619,17.1806, 23.01984
-57.27588,16.83064, 21.98126
-59.68419,17.20977, 23.04532
-57.28782,16.86281, 22.00669
-59.70214,17.23886, 23.07073
-57.29972,16.8949, 22.03205
-59.71957,17.26711, 23.0954
-57.31128,16.92604, 22.05668
-59.73436,17.29105, 23.11632
-57.32107,16.95245, 22.07756
-59.75092,17.31788, 23.13976
-57.33205,16.98204, 22.10095
-59.76917,17.34745, 23.16559
-57.34415,17.01465, 22.12673
-59.78633,17.37527, 23.18989
-57.35553,17.04534, 22.15099
-59.79991,17.39727, 23.20911
-57.36453,17.0696, 22.17017
-59.81876,17.42781, 23.23579
-57.37703,17.10328, 22.1968
-59.8357,17.45525, 23.25976
